2.17;0.63;-0.20;2;Microglia;1000333703
1.68;0.88;-0.07;2;Microglia;1000333704
1.91;-0.76;0.81;2;Microglia;1000333706
0.50;0.43;0.38;2;Microglia;1000333716
1.89;1.16;0.24;2;Microglia;1000333720
1.80;1.07;-0.17;2;Microglia;1000333722
2.50;0.26;0.14;2;Microglia;1000333725
2.30;1.02;0.15;2;Microglia;1000333732
1.41;0.45;0.00;2;Microglia;1000333750
1.48;1.07;0.00;2;Microglia;1000333754
1.71;1.35;0.00;2;Microglia;1000333765
1.52;1.47;0.00;2;Microglia;1000333766
1.56;1.03;0.00;2;Microglia;1000333767
2.03;0.46;-0.59;2;Microglia;1000333779
-0.28;0.68;1.22;2;Microglia;1000333782
2.29;1.53;0.00;2;Microglia;1000333783
1.57;1.66;0.59;2;Microglia;1000333784
0.25;1.00;0.26;3;Meninges;1000333611
0.56;0.68;-0.23;3;Meninges;1000333619
1.69;0.01;0.00;3;Meninges;1000333621
0.53;0.35;-0.11;3;Meninges;1000333623
2.46;-0.36;-0.66;3;Meninges;1000333632
0.87;0.39;0.17;3;Meninges;1000333635
0.01;1.16;-0.07;3;Meninges;1000333653
0.37;0.68;0.21;3;Meninges;1000333654
0.96;0.41;0.20;3;Meninges;1000333661
0.42;0.85;0.06;3;Meninges;1000333663
1.95;0.19;-0.13;3;Meninges;1000333679
-0.67;1.18;0.18;3;Meninges;1000333683
0.77;0.85;0.06;3;Meninges;1000333684
1.61;0.45;-0.15;3;Meninges;1000333700
1.73;0.81;-0.81;3;Meninges;1000333708
0.92;0.97;0.00;3;Meninges;1000333709
1.48;0.33;0.01;3;Meninges;1000333712
0.89;0.89;-0.53;3;Meninges;1000333713
0.27;1.02;-0.30;3;Meninges;1000333729
0.86;0.89;0.19;3;Meninges;1000333733
0.44;1.06;-0.08;3;Meninges;1000333734
1.23;-0.44;0.04;3;Meninges;1000333735
0.53;0.39;0.12;3;Meninges;1000333737
0.76;0.76;0.21;3;Meninges;1000333739
0.87;1.07;0.64;3;Meninges;1000333740
0.50;1.80;0.00;3;Meninges;1000333774
0.99;-0.59;0.00;3;Meninges;1000333775
-0.87;0.35;0.00;3;Meninges;1000334025
-0.16;1.95;0.00;3;Meninges;1000333789
1.52;0.57;0.00;3;Meninges;1000333794
0.71;0.62;-0.23;3;Microglia;1000333596
0.89;1.08;-0.47;3;Microglia;1000333597
-0.20;3.00;0.59;3;Microglia;1000333603
0.75;0.30;0.16;3;Microglia;1000333606
1.19;0.49;0.29;3;Microglia;1000333607
-0.33;-0.20;-0.01;3;Microglia;1000333615
0.67;0.91;-0.33;3;Microglia;1000333639
0.24;0.48;-0.81;3;Microglia;1000333641
0.56;0.22;0.79;3;Microglia;1000333645
0.83;0.35;0.94;3;Microglia;1000333646
0.81;0.48;-0.70;3;Microglia;1000333651
0.55;1.42;-0.36;3;Microglia;1000333652
2.06;1.04;0.05;3;Microglia;1000333655
-1.67;5.26;-2.01;3;Microglia;1000333669
2.03;2.57;1.73;3;Microglia;1000333671
3.18;0.83;0.34;3;Microglia;1000333674
0.01;0.48;-0.08;3;Microglia;1000333675
1.15;0.28;-0.11;3;Microglia;1000333693
1.50;0.02;0.61;3;Microglia;1000333676
1.06;0.82;0.02;3;Microglia;1000333703
0.52;1.15;0.35;3;Microglia;1000333704
1.27;-0.96;0.82;3;Microglia;1000333706
-0.64;0.75;0.43;3;Microglia;1000333716
0.49;1.15;-0.34;3;Microglia;1000333720
0.54;0.26;0.05;3;Microglia;1000333722
1.74;-0.02;0.38;3;Microglia;1000333725
2.57;0.74;-0.56;3;Microglia;1000333732
-0.30;-0.60;0.00;3;Microglia;1000333750
0.95;0.90;0.00;3;Microglia;1000333754
0.72;1.69;0.00;3;Microglia;1000333765
-0.41;1.96;0.00;3;Microglia;1000333766
0.20;0.90;0.00;3;Microglia;1000333767
1.10;1.39;0.21;3;Microglia;1000333779
-1.63;0.34;1.96;3;Microglia;1000333782
1.34;1.03;0.00;3;Microglia;1000333783
1.03;2.37;1.18;3;Microglia;1000333784
-0.49;2.18;-0.03;4;Meninges;1000333611
0.24;1.13;-0.37;4;Meninges;1000333619
3.40;-1.15;0.62;4;Meninges;1000333621
-7.93;6.40;0.83;4;Meninges;1000333622
0.91;0.39;-0.04;4;Meninges;1000333623
3.76;-1.28;-0.64;4;Meninges;1000333632
1.36;0.57;0.10;4;Meninges;1000333635
-0.35;1.26;0.65;4;Meninges;1000333653
0.57;0.60;0.60;4;Meninges;1000333654
0.65;0.88;0.14;4;Meninges;1000333661
0.39;0.78;0.12;4;Meninges;1000333663
1.98;0.21;-0.03;4;Meninges;1000333679
0.22;1.04;0.38;4;Meninges;1000333683
0.81;0.90;0.10;4;Meninges;1000333684
0.99;0.59;0.79;4;Meninges;1000333700
0.92;1.24;0.09;4;Meninges;1000333709
2.75;-0.73;-0.03;4;Meninges;1000333712
0.88;1.51;-0.81;4;Meninges;1000333708
0.89;0.79;-0.69;4;Meninges;1000333713
0.14;1.43;0.50;4;Meninges;1000333729
0.79;0.70;0.03;4;Meninges;1000333733
0.16;0.67;-0.02;4;Meninges;1000333734
0.89;-0.26;-0.59;4;Meninges;1000333735
1.04;0.29;0.02;4;Meninges;1000333737
1.26;0.62;0.20;4;Meninges;1000333739
1.04;0.96;0.69;4;Meninges;1000333740
0.96;1.00;0.00;4;Meninges;1000333774
0.56;0.09;0.00;4;Meninges;1000333775
-0.36;-0.27;0.00;4;Meninges;1000334025
0.58;1.14;0.00;4;Meninges;1000333789
1.80;0.44;0.00;4;Meninges;1000333794
-0.05;0.90;-0.08;4;Microglia;1000333596
0.55;0.88;-0.17;4;Microglia;1000333597
-0.34;2.20;0.25;4;Microglia;1000333603
1.14;0.17;0.16;4;Microglia;1000333606
1.50;0.53;-0.18;4;Microglia;1000333607
-0.55;0.52;0.14;4;Microglia;1000333615
0.06;0.73;0.12;4;Microglia;1000333639
-2.96;7.01;-2.47;4;Microglia;1000333669
0.20;1.18;-0.21;4;Microglia;1000333641
0.05;0.33;0.71;4;Microglia;1000333645
0.65;0.15;0.85;4;Microglia;1000333646
0.54;0.41;-0.96;4;Microglia;1000333651
0.91;1.21;0.18;4;Microglia;1000333652
2.04;1.54;-0.23;4;Microglia;1000333655
2.38;2.79;2.09;4;Microglia;1000333671
